Order Date,Customer Latitude,Customer Longitude
2024-04-12,6.995277958,79.79543819
2024-12-14,6.883917763,79.8593014
2024-09-27,6.84806191,79.78781491
2024-04-16,6.908621328,79.94176762
2024-03-12,7.000688053,79.85502426
2024-07-07,6.862624062,79.8027749
2024-01-21,6.905036226,79.80857699
2024-04-12,6.851960467,79.8927415
2024-05-01,6.94177543,79.8233193
2024-08-02,6.97736097,79.91128613
2024-11-26,6.925478733,79.7879686
2024-03-28,7.002499892,79.89181274
2024-04-09,6.881523571,79.88124806
2024-12-25,6.909986756,79.88576665
2024-05-31,6.922392053,79.85856312
2024-05-10,6.969601278,79.8818418
2024-05-29,6.8514158,79.78231309
2024-11-04,6.891966529,79.84853929
2024-09-14,6.88659956,79.88869074
2024-12-09,6.872164492,79.89825265
2024-10-20,6.97631635,79.79301204
2024-07-10,6.954272296,79.94495298
2024-10-03,6.87175294,79.93549055
2024-06-09,6.946207739,79.87770696
2024-11-09,6.846365348,79.90626777
2024-01-22,6.923185235,79.90134428
2024-09-09,6.982808307,79.86551916
2024-08-23,6.88451339,79.79614358
2024-12-10,6.865929392,79.92780051
2024-02-18,6.859276233,79.84027139
2024-02-28,6.897239576,79.92753206
2024-06-18,6.923080811,79.95130755
2024-07-06,6.969812567,79.92489442
2024-09-27,6.854788697,79.8163868
2024-07-08,6.86141463,79.8545972
2024-06-23,6.966431079,79.80113335
2024-02-20,6.860463702,79.88200207
2024-12-29,6.878507703,79.8574474
2024-02-24,6.846220311,79.89398215
2024-08-31,6.934544393,79.88795801
2024-11-15,6.886632681,79.82101531
2024-05-10,6.981399195,79.90087017
2024-11-02,6.941465523,79.88445869
2024-05-14,6.853954807,79.92584691
2024-01-21,6.975731898,79.87762467
2024-11-24,7.002522546,79.80105609
2024-06-15,6.960731961,79.94523355
2024-09-30,6.892867381,79.77322309
2024-03-29,6.969418463,79.77171442
2024-11-11,6.99422318,79.78066642
2024-01-14,6.954625177,79.8389083
2024-08-29,6.873647866,79.93348593
2024-09-21,6.971468622,79.83223915
2024-12-11,6.888208665,79.90403743
2024-02-22,6.987743381,79.90037796
2024-12-05,6.952323284,79.81181695
2024-04-01,6.990668285,79.90651492
2024-09-20,6.930212485,79.86330324
2024-02-04,6.939563609,79.92078384
2024-07-24,6.970750369,79.92586028
2024-03-21,6.928412211,79.88382444
2024-02-19,6.990986812,79.81261473
2024-12-25,6.917013636,79.883099
2024-01-02,7.001901127,79.77332177
2024-02-23,6.87531138,79.81300141
2024-04-15,6.895859041,79.82159316
2024-09-16,6.943341223,79.93119204
2024-11-05,6.951780692,79.81428575
2024-07-09,6.992641054,79.88516698
2024-08-05,6.876462545,79.83609177
2024-02-13,6.979345911,79.90456723
2024-06-10,6.940898625,79.79672349
2024-07-20,6.98174672,79.82626799
2024-09-26,6.976036566,79.88798405
2024-12-16,6.884608159,79.80899355
2024-10-30,6.860597283,79.81436193
2024-09-27,6.865447572,79.8824454
2024-08-02,6.94489876,79.87684067
2024-09-08,6.952665731,79.918335
2024-07-08,7.001614002,79.81226179
2024-10-22,6.942915223,79.78466588
2024-07-31,6.858657196,79.88921337
2024-07-26,6.924682083,79.90808859
2024-08-24,6.913708555,79.79360721
2024-12-03,6.994136694,79.78549213
2024-02-22,6.871057593,79.82072017
2024-10-06,7.016339749,79.84610963
2024-08-04,6.927407843,79.91015133
2024-09-08,6.951679385,79.92316959
2024-07-06,6.924655578,79.94690266
2024-02-10,6.980579705,79.84329732
2024-06-05,6.905707536,79.93915484
2024-01-15,6.960328042,79.88324082
2024-10-27,6.973555971,79.87224165
2024-03-05,6.865688608,79.82838669
2024-12-10,6.937540516,79.77374501
2024-11-22,6.915811839,79.90762953
2024-01-09,6.866601622,79.78216523
2024-12-09,6.987645791,79.8824858
2024-05-08,6.868825941,79.91679591
2024-05-15,6.955591797,79.8310918
2024-03-03,6.904793022,79.79874195
2024-05-18,6.987506413,79.86283475
2024-03-21,6.937373708,79.93080574
2024-06-11,6.839862273,79.78259433
2024-10-15,6.86612324,79.77589947
2024-09-17,6.955596605,79.88549981
2024-08-18,6.874992235,79.79756548
2024-02-10,6.863259406,79.94346563
2024-01-28,6.961965681,79.87670577
2024-05-14,6.895115653,79.849047
2024-07-19,6.853119078,79.9516171
2024-11-23,6.973061345,79.88324437
2024-09-24,6.942913909,79.86198308
2024-02-02,6.88339323,79.81153846
2024-02-17,6.936024767,79.78318926
2024-03-02,6.850428072,79.87223798
2024-08-03,7.00274181,79.93639245
2024-10-19,6.838960955,79.78994005
2024-04-08,6.942068954,79.92445012
2024-06-20,7.008982718,79.92664751
2024-12-25,6.959102367,79.80684378
2024-08-01,6.85009486,79.77907181
2024-02-04,6.947294015,79.77701587
