Delivery_location_latitude,Delivery_location_longitude,Time_Orderd,Type_of_order,Time_Delivery,Start_seconds,End_seconds
27.02644943064099,75.83168357751978,1900-01-01 19:00:00,1,1900-01-01 19:40:00,68400,70800
27.07457739418114,75.94355127904095,1900-01-01 21:00:00,1,1900-01-01 21:40:00,75600,78000
27.00718636121682,75.97270699887368,1900-01-01 19:45:00,2,1900-01-01 20:25:00,71100,73500
27.08799561457749,75.8927860944146,1900-01-01 22:00:00,2,1900-01-01 22:40:00,79200,81600
27.01218525777961,75.83038135212406,1900-01-01 21:55:00,1,1900-01-01 22:35:00,78900,81300
27.0083689852162,75.8767679353381,1900-01-01 20:45:00,1,1900-01-01 21:25:00,74700,77100
27.00956049672072,75.95075622002012,1900-01-01 22:35:00,4,1900-01-01 23:15:00,81300,83700
27.019718450985344,75.93455408115994,1900-01-01 19:25:00,4,1900-01-01 20:05:00,69900,72300
27.02180222429596,75.92199905783559,1900-01-01 23:55:00,3,1900-01-02 00:35:00,86100,88500
27.00385364316322,75.85321922909004,1900-01-01 17:15:00,3,1900-01-01 17:55:00,62100,64500
27.01457250186421,75.85834427678058,1900-01-01 21:45:00,4,1900-01-01 22:25:00,78300,80700
27.03256328947224,75.93907580571633,1900-01-01 20:15:00,2,1900-01-01 20:55:00,72900,75300
26.9653273860652,75.89234414572734,1900-01-01 20:30:00,1,1900-01-01 21:10:00,73800,76200
26.989895596139306,75.87874502599526,1900-01-01 23:15:00,3,1900-01-01 23:55:00,83700,86100
26.961345378215835,75.90774264242651,1900-01-01 21:00:00,4,1900-01-01 21:40:00,75600,78000
26.99280144384136,75.89702155458576,1900-01-01 17:10:00,2,1900-01-01 17:50:00,61800,64200
27.030619456886203,75.91323716461542,1900-01-01 17:10:00,3,1900-01-01 17:50:00,61800,64200
27.097941203307457,75.8891811542866,1900-01-01 17:45:00,3,1900-01-01 18:25:00,63900,66300
27.072217734811648,75.9353841769108,1900-01-01 21:40:00,3,1900-01-01 22:20:00,78000,80400
27.00358182348448,75.93423012595025,1900-01-01 19:20:00,2,1900-01-01 20:00:00,69600,72000
27.04089569101113,75.89146093094605,1900-01-01 21:15:00,3,1900-01-01 21:55:00,76500,78900
26.95481685211152,75.90025192213476,1900-01-01 20:40:00,2,1900-01-01 21:20:00,74400,76800
26.97254910760894,75.88399728990473,1900-01-01 23:10:00,2,1900-01-01 23:50:00,83400,85800
27.05338480211778,75.96395634104942,1900-01-01 21:40:00,3,1900-01-01 22:20:00,78000,80400
27.006049027934328,75.89479528923003,1900-01-01 21:20:00,3,1900-01-01 22:00:00,76800,79200
27.01889128233612,75.85580558030594,1900-01-01 23:15:00,1,1900-01-01 23:55:00,83700,86100
27.09532789415642,75.90555423676817,1900-01-01 19:00:00,1,1900-01-01 19:40:00,68400,70800
27.030860735042765,75.84343296433791,1900-01-01 20:20:00,4,1900-01-01 21:00:00,73200,75600
27.011167997881103,75.92633505547525,1900-01-01 21:00:00,3,1900-01-01 21:40:00,75600,78000
26.95590072889105,75.90851513035417,1900-01-01 19:00:00,4,1900-01-01 19:40:00,68400,70800
26.96705333266936,75.88127921152615,1900-01-01 18:20:00,3,1900-01-01 19:00:00,66000,68400
26.978833064367976,75.9430798584353,1900-01-01 20:20:00,4,1900-01-01 21:00:00,73200,75600
27.03006669366005,75.90442685770026,1900-01-01 19:30:00,1,1900-01-01 20:10:00,70200,72600
26.98292414284548,75.87186585625876,1900-01-01 13:40:00,3,1900-01-01 14:20:00,49200,51600
27.072063734384763,75.92185241483173,1900-01-01 18:10:00,1,1900-01-01 18:50:00,65400,67800
26.978782465173406,75.93433494554674,1900-01-01 22:40:00,3,1900-01-01 23:20:00,81600,84000
26.987224572854423,75.85847888920696,1900-01-01 17:35:00,1,1900-01-01 18:15:00,63300,65700
27.03370781268276,75.88072620051562,1900-01-01 20:55:00,4,1900-01-01 21:35:00,75300,77700
27.022476232171567,75.96264947741608,1900-01-01 20:00:00,2,1900-01-01 20:40:00,72000,74400
27.023896332202675,75.93863697966749,1900-01-01 22:40:00,3,1900-01-01 23:20:00,81600,84000
27.08009927425764,75.93053472266992,1900-01-01 19:30:00,1,1900-01-01 20:10:00,70200,72600
26.983337424593827,75.86304240152366,1900-01-01 22:45:00,1,1900-01-01 23:25:00,81900,84300
26.98745650486169,75.8767713071928,1900-01-01 22:50:00,4,1900-01-01 23:30:00,82200,84600
27.07847471799545,75.94873557409953,1900-01-01 23:10:00,2,1900-01-01 23:50:00,83400,85800
27.05075755963644,75.94928240839872,1900-01-01 20:25:00,1,1900-01-01 21:05:00,73500,75900
27.00216714269933,75.95004533946792,1900-01-01 21:25:00,2,1900-01-01 22:05:00,77100,79500
27.03501904112637,75.94035805525564,1900-01-01 19:50:00,1,1900-01-01 20:30:00,71400,73800
27.03213464739261,75.89886351789667,1900-01-01 18:20:00,3,1900-01-01 19:00:00,66000,68400
26.976307222914887,75.89403039307778,1900-01-01 17:50:00,3,1900-01-01 18:30:00,64200,66600
26.992416292303563,75.89923068772578,1900-01-01 18:15:00,1,1900-01-01 18:55:00,65700,68100
27.066933113854308,75.94861326694361,1900-01-01 23:40:00,3,1900-01-02 00:20:00,85200,87600
26.99907599098288,75.90283351568515,1900-01-01 22:25:00,1,1900-01-01 23:05:00,80700,83100
27.08219003795644,75.88262822737967,1900-01-01 19:35:00,2,1900-01-01 20:15:00,70500,72900
27.004718375651045,75.86559380181325,1900-01-01 20:15:00,1,1900-01-01 20:55:00,72900,75300
27.0200350058886,75.9381173260569,1900-01-01 19:10:00,4,1900-01-01 19:50:00,69000,71400
27.030633899849,75.8220840249939,1900-01-01 20:25:00,2,1900-01-01 21:05:00,73500,75900
27.032122015516403,75.91129405606597,1900-01-01 20:15:00,3,1900-01-01 20:55:00,72900,75300
27.01098712999235,75.83505306414114,1900-01-01 21:20:00,3,1900-01-01 22:00:00,76800,79200
27.05317947659225,75.9113230475819,1900-01-01 23:55:00,2,1900-01-02 00:35:00,86100,88500
26.99207321305312,75.87420217211685,1900-01-01 22:25:00,4,1900-01-01 23:05:00,80700,83100
27.02245273025776,75.90216946315681,1900-01-01 18:00:00,1,1900-01-01 18:40:00,64800,67200
27.03311910031488,75.92309751216101,1900-01-01 17:55:00,2,1900-01-01 18:35:00,64500,66900
27.00336453673337,75.94164313337227,1900-01-01 17:50:00,3,1900-01-01 18:30:00,64200,66600
27.015668970391253,75.85066403483012,1900-01-01 17:35:00,2,1900-01-01 18:15:00,63300,65700
27.01167989588952,75.8461172251262,1900-01-01 18:20:00,1,1900-01-01 19:00:00,66000,68400
27.068556208272096,75.85687963813423,1900-01-01 20:30:00,3,1900-01-01 21:10:00,73800,76200
26.99655622958253,75.94529884146779,1900-01-01 17:30:00,4,1900-01-01 18:10:00,63000,65400
27.03233443339799,75.86467770426711,1900-01-01 20:20:00,3,1900-01-01 21:00:00,73200,75600
27.042204588596665,75.89505373767177,1900-01-01 20:45:00,1,1900-01-01 21:25:00,74700,77100
26.94586748720912,75.90452052806631,1900-01-01 23:30:00,4,1900-01-02 00:10:00,84600,87000
27.08994304541106,75.92446940525113,1900-01-01 21:50:00,3,1900-01-01 22:30:00,78600,81000
27.02753996153287,75.85380709895011,1900-01-01 19:10:00,2,1900-01-01 19:50:00,69000,71400
27.004199634861184,75.88481861104643,1900-01-01 18:25:00,3,1900-01-01 19:05:00,66300,68700
26.950406977005443,75.9045800584011,1900-01-01 21:20:00,1,1900-01-01 22:00:00,76800,79200
27.024908249558926,75.889399785938,1900-01-01 22:20:00,3,1900-01-01 23:00:00,80400,82800
27.03345600649717,75.92645138290874,1900-01-01 19:20:00,3,1900-01-01 20:00:00,69600,72000
27.03046729431882,75.89638117707806,1900-01-01 20:35:00,3,1900-01-01 21:15:00,74100,76500
